country,institution,type,contacts,contacts_with_email,sources,name_variants
Ethiopia,Transparency Ethiopia,Other,2,2,csv,
Ethiopia,GIZ,Other,2,2,db,
Ethiopia,International Institute for Democracy and Electoral Assistance,Other,1,1,csv,
Ethiopia,International IDEA Addis Office,Other,1,1,csv,
Ethiopia,International IDEA,Other,1,1,csv,
Ethiopia,Embassy of Sweden in Addis,Other,1,1,csv,
Ethiopia,African Union,Other,1,1,"csv,db",
Ethiopia,European Center for Electoral Support,Other,1,1,db,
Ethiopia,NEBE - National Election Board of Ethiopia,EMB,1,1,db,
Ethiopia,NATIONAL ELECTION BOARD OF ETIOPIA,EMB,1,1,db,
Finland,OSCE,Other,2,2,csv,
Finland,Ministry of Foreign Affairs,Other,1,1,"csv,db",
Finland,National Audit Office of Finland,Other,1,1,csv,
Finland,Parliament of Finland,Other,1,1,csv,
Finland,Ministry of Justice,Other,1,1,csv,
France,Council of Europe,Other,13,13,csv,
France,Office Parlementaire d´Evaluation des Choix Scientifiques et Technologiques (OPECST),Other,3,3,csv,
France,Université de Strasbourg,Other,3,3,csv,
France,Cabinet Office,Other,3,3,db,
France,Council of Europe - Europen Commission for Democracy though Law,Other,1,1,"csv,db",
France,Professor of Economics and Management,Other,1,1,csv,
France,Stras’Diplomacy,Other,1,1,csv,
France,The International Organization of Francophonie,Other,1,1,csv,
France,Ministry for European Affairs,Other,1,1,csv,
France,University of Avignon,Other,1,1,csv,
France,Region Grand Est,Other,1,1,csv,
France,Public Missions,Other,1,1,csv,
France,Makers For Change,Other,1,1,csv,
France,CrossCheck France,Other,1,1,csv,
France,Conseil de l’Europe - FMDO (Fédération marocaine et mondiale des organismes démocratiques),Other,1,1,csv,
France,European Economic and Social Committee,Other,1,1,csv,
France,Ministry of Justice,Other,1,1,csv,
France,Ministry of Foreign Affairs,Other,1,1,csv,
France,Elections-Experts NGO,Other,1,1,db,
Gabon,Independent and Permanent National Electoral Commission,EMB,1,1,csv,
Gabon,Autonomous and Permanent National Electoral Commission,EMB,1,1,csv,
Gabon,African Union Commission,Other,1,1,csv,
Gabon,Electoral Institute for Sustainable Democracy in Africa,Other,1,1,csv,
Gabon,Economic Community of Central African States (ECCAS),Other,1,1,csv,
Gabon,PARLIAMENTARY CHAMBER,Other,1,1,db,
Gambia,Independent Electoral Commission,EMB,8,8,"csv,db",
Gambia,African Centre for Democracy and Human Rights Studies,Other,1,1,csv,
Georgia,Central Election Commission of Georgia,EMB,8,8,"csv,db",
Georgia,CEC of Georgia,EMB,1,1,db,
Germany,ACEEEO,Other,2,2,csv,
Germany,Ministry of Justice,Other,2,2,csv,
Germany,Office of the Federal Returning Officer,Other,1,1,"csv,db",
Germany,Office of Technology Assessment at the German Parliament,Other,1,1,csv,
Germany,Ministry of Foreign Affairs,Other,1,1,"csv,db",
Germany,"Federal Ministry of the Interior Divison for Electoral Law , Party Law",Other,1,1,"csv,db",
Germany,Transparency International,Other,1,1,"csv,db",
Germany,Germany’s Social Democratic Party,Other,1,1,"csv,db",
Germany,IDEA Elections and Parliamentary Support,Other,1,1,db,
Ghana,Electoral Commission,EMB,4,4,csv,
Ghana,Electoral Leadership Institute,Other,1,1,csv,
Greece,Ministry of Foreign Affairs,Other,2,2,"csv,db",
Greece,Cabinet Office,Other,1,1,"csv,db",
Greece,Greek Permanent Committee on Research and Technology,Other,1,1,csv,
Greece,European Economic and Social Committee,Other,1,1,csv,
Greece,Greek Committee on Private International Law,Other,1,1,csv,
Greece,Ministry of Justice,Other,1,1,csv,
Guam,Electoral Commission,EMB,6,6,db,
Guam,Guam Election Commission,EMB,2,2,db,
Guatemala,TRIBUNAL SUPREMO ELECTORAL GUATEMALA,EMB,1,1,db,
Guyana,Guyana Elections Commission,Other,4,4,db,
Guyana,GECOM,EMB,1,1,db,
Haiti,CEP,Other,1,1,db,
Haiti,ONI,Other,1,1,db,
Hungary,National Election Office of Hungary,EMB,14,14,"csv,db",National Election Office | national election office
Hungary,National Election Commission,EMB,5,5,"csv,db",
Hungary,Ministry of Foreign Affairs,Other,2,2,"csv,db",
Hungary,Association of European Election Officials,Other,2,2,"csv,db",
Hungary,OSCE,Other,1,1,csv,
Hungary,Nemzeti Választási Irodsa,Other,1,1,db,
Iceland,The National Electoral Commission,EMB,2,2,csv,National Electoral Commission
Iceland,Departemnt of Foreign Affairs and Trade,Other,1,1,"csv,db",
Iceland,Gardabaer Electoral Department,Other,1,1,csv,
Iceland,HafnarfjordurRegion,Other,1,1,csv,
Iceland,Nordic Election And Democracy Research Consortium (NED),Other,1,1,csv,
Iceland,Kjsarhreppur Electoral Department,Other,1,1,csv,
India,Office of the Chief Electoral,EMB,53,53,"csv,db",Chief Electoral Office
India,Office of the Chief Electoral oFFICER,EMB,21,21,"csv,db",Chief Electoral officer
India,Election Commission,EMB,17,16,csv,
India,Ministry of External Affairs,Other,17,17,csv,
India,State Election Commission,EMB,13,13,db,
India,Legislative Assembly,Other,5,5,db,
India,Telangana State Portal,Other,3,3,db,
India,IGOD,Other,2,2,csv,
India,"State Election Commission, Uttarakhand",EMB,2,2,db,State Election Commission Uttarakhand
India,Vigorous One,Other,2,2,db,
India,"STATE ELECTION COMMISSION, KARNATAKA, BENGALURU",EMB,1,1,db,
India,"State Election Commission, Government of Rajasthan",EMB,1,1,db,
India,State Election Commission Haryana,EMB,1,1,db,
India,SelfSTATE ELECTION COMMISSION CHHATTISGARH,EMB,1,1,db,
India,Chhattisgarh State Election Commission,EMB,1,1,db,
India,Vigorous Softech Systems Private Limited,Other,1,1,db,
India,Shri samarth Vidya Mandir prashala Sawedi Ahmednagar Maharashtra India,Other,1,1,db,
India,General Administration Department Bihar,Other,1,1,db,
India,"NIC, Bihar State Unit Patna",Other,1,1,db,
India,VigorousONE,Other,1,1,db,
Iran,Ministry of Foreign Affairs,Other,1,1,db,
Ireland,Departemnt of Foreign Affairs and Trade,Other,1,1,"csv,db",
Ireland,Departemnt of Foreign Affaira,Other,1,1,"csv,db",
Ireland,Citizens Foundation,Other,1,1,"csv,db",
Ireland,"Central Authority for Maintenance Recovery Abroad Department of Justice, Home Affairs and Migration",Other,1,1,csv,
Israel,Ministry of Interior,Other,3,3,db,
Israel,Knesset Research and Information Center Organisation,Other,1,1,db,
Italy,Central Directorate of Electoral Services,Other,2,2,"csv,db",
Italy,Venice Commission (Council of Europe),Other,2,2,csv,
Italy,OSCE,Other,1,1,csv,
Italy,Parliamentary Assembly,Other,1,1,"csv,db",
Italy,Ministry of Justice,Other,1,1,csv,
Jamaica,Electoral Office of Jamaica,EMB,11,11,db,ELECTORAL OFFICE OF JAMAICA | Electoral Office
Jamaica,Electoral Commission of Jamaica,EMB,2,2,db,
Jamaica,Federal Electoral Institute,Other,1,1,db,
Kazakhstan,Central Election Commission of the Republic of Kazakhstan,EMB,10,10,"csv,db",Central Election Commission of Kazakhstan | Central Election Commission
Kazakhstan,Ministry of Foreign Affairs,Other,3,3,db,
Kazakhstan,Youth Information service of Kazakhsatn,Other,1,1,db,
Kazakhstan,Center for Social Political Researches,Other,1,1,db,
Kazakhstan,Election Commission,EMB,1,1,db,
Kazakhstan,Monitoring Center,Other,1,1,db,
Kenya,Independent Electoral and Boundaries Commission,Other,6,6,"csv,db",independent electoral and boundaries commission | Independent Electoral & Boundaries Commission
Kenya,IEBC,EMB,6,6,db,
Kenya,Independent Boundaries and Electoral Commission (IEBC),EMB,4,4,csv,
Kenya,National Electoral Commission,EMB,2,2,csv,
Kenya,IFES Kenya,Other,2,2,csv,IFES
Kenya,.,Other,2,2,db,
Kenya,Commission on Revenue Allocation,Other,2,2,db,
Kenya,United Nations Integrated Electoral Assistance Team,Other,1,1,"csv,db",
Kenya,Independent Policing Oversight Authority,Other,1,1,db,
Kenya,International Foundation for Electoral Systems,Other,1,1,db,
Kenya,Election Commission,EMB,1,1,db,
Kenya,Ministry of Interior and Coordination,Other,1,1,db,
Kenya,Judiciary,Other,1,1,db,
Kosovo,Ministry of Foreign Affairs,Other,3,3,csv,
Kosovo,Central Election Commission of Kosovo,EMB,1,1,"csv,db",
Kosovo,OSCE,Other,1,1,csv,
Kyrgyzstan,Central Election Commission of Kyrgyzstan,EMB,3,3,"csv,db",Central Election Commission
Kyrgyzstan,National Election Commission,EMB,2,2,"csv,db",
Kyrgyzstan,Election Commission,EMB,1,1,db,
Kyrgyzstan,Coalition for Democracy and Civil Society,Other,1,1,db,
Latvia,Central Election Commission of Latvia,EMB,5,5,"csv,db",Central Election Commission
Latvia,Electoral Commission,EMB,4,4,"csv,db",
Latvia,National Election Commission,EMB,3,3,"csv,db",
Latvia,Latvian Parliament,Other,1,1,csv,
Latvia,Minitry of the Interior,Other,1,1,"csv,db",
Latvia,Ministry of Foreign Affairs,Other,1,1,csv,
Lebanon,absolutechnologies,Other,1,1,db,
Lesotho,Independent Electoral Commission,EMB,1,1,db,
Lesotho,Election Commission,EMB,1,1,db,
Liberia,The Liberian Legislature,Other,3,3,db,
Liberia,Naymote Partners for Democratic Development,Other,1,1,db,
Libya,Election Management Office,Other,6,6,db,
Libya,High National Election Commission,EMB,1,1,csv,
Liechtenstein,Ministry Of Home Affairs,Other,1,1,csv,
Lithuania,Central Election Commission of Lithuania,EMB,6,6,"csv,db",Central Election Commission | Central Electoral Commission
Lithuania,Council of the Central Election Commission,EMB,3,3,db,
Lithuania,Election Observation,Other,2,2,csv,
Luxembourg,Service des Séances Plénières (HHR) :,Other,18,18,csv,
Luxembourg,Central Election Commission,EMB,2,2,"csv,db",
Luxembourg,Cabinet du Président,Other,2,2,csv,
Luxembourg,Ministry Of Foreign Affairs,Other,2,2,csv,
Luxembourg,OSCE,Other,1,1,csv,
Luxembourg,Ministry of State,Other,1,1,csv,
Madagascar,Electoral Institute for Sustainable Democracy in Africa,Other,3,3,csv,
Madagascar,Independent National Electoral Commission,EMB,2,2,csv,
Madagascar,Independent National Electoral Commission (CENI),EMB,1,1,csv,
Madagascar,Indian Ocean Commission,Other,1,1,csv,
Madagascar,EISA Madagascar,Other,1,1,db,
Malawi,Malawi Electoral Commission,EMB,5,5,"csv,db",
Malawi,Malawi Electoral Support Network (MESN),Other,3,3,csv,
Malawi,Pan African Civic Educators Network (PACENET),Other,1,1,db,
Malawi,Centre for Human Rights and Rehabilitation (CHRR),Other,1,1,db,
Maldives,Civil Service Commission,Other,6,6,db,
Mali,Election Commission,EMB,1,1,db,
Malta,Electoral commission,EMB,5,5,"csv,db",
Malta,Central Election Commission,EMB,2,2,"csv,db",
Malta,Ministry of Foreign Affairs,Other,1,1,"csv,db",
Malta,Ministry for Justice & Governance,Other,1,1,csv,
Mauritania,Democracy and Electoral Assistance Unit,Other,1,1,"csv,db",
Mauritania,Ceni,EMB,1,1,db,
Mauritania,Centre d’Etudes pour la Démocratie et les Élections Crédibles (CEDEC),Other,1,1,db,
Mauritius,The Office of the Electoral Commissioner,EMB,18,18,"csv,db",Electoral Commissioner Office
Mauritius,Office of the Electoral Commisssioner,Other,4,4,"csv,db",
Mauritius,ICPS,Other,3,3,db,
Mauritius,Transparency Mauritius,Other,2,2,db,
Mauritius,Electoral Commission,EMB,1,1,csv,
Mauritius,OEC,Other,1,1,"csv,db",
Mauritius,African center For Economic Growth,Other,1,1,csv,
Mauritius,Attorney General's Office,Other,1,1,csv,
Mexico,INE,EMB,3,3,db,
Mexico,Instituto Nacional Electoral,Other,2,2,db,INSTITUTO NACIONAL ELECTORAL
Mexico,Smartmatic,Other,1,1,db,
Mexico,DBA CONTACTO DIRECTO,Other,1,1,db,
Mexico,Asesoría Jurídica Integral,Other,1,1,db,
